agu_bypass_cancel.count, 0x1b6
offcore_response.pf_llc_code_rd.llc_hit.no_snoop_needed_1, 0x1bb, 0x1003c0200
offcore_response.pf_llc_code_rd.llc_hit.snoop_miss_0, 0x1b7, 0x2003c0200
offcore_response.pf_llc_code_rd.llc_hit.snoop_miss_1, 0x1bb, 0x2003c0200
offcore_response.pf_llc_code_rd.llc_miss.dram_0, 0x1b7, 0x300400200
offcore_response.pf_llc_code_rd.llc_miss.dram_1, 0x1bb, 0x300400200
offcore_response.pf_llc_data_rd.llc_hit.any_response_0, 0x1b7, 0x3f803c0080
offcore_response.pf_llc_data_rd.llc_hit.any_response_1, 0x1bb, 0x3f803c0080
offcore_response.pf_llc_data_rd.llc_hit.hit_other_core_no_fwd_0, 0x1b7, 0x4003c0080
offcore_response.pf_llc_data_rd.llc_hit.hit_other_core_no_fwd_1, 0x1bb, 0x4003c0080
offcore_response.pf_llc_data_rd.llc_hit.hitm_other_core_0, 0x1b7, 0x10003c0080
offcore_response.pf_llc_data_rd.llc_hit.hitm_other_core_1, 0x1bb, 0x10003c0080
offcore_response.pf_llc_data_rd.llc_hit.no_snoop_needed_0, 0x1b7, 0x1003c0080
offcore_response.pf_llc_data_rd.llc_hit.no_snoop_needed_1, 0x1bb, 0x1003c0080
offcore_response.pf_llc_data_rd.llc_hit.snoop_miss_0, 0x1b7, 0x2003c0080
offcore_response.pf_llc_data_rd.llc_hit.snoop_miss_1, 0x1bb, 0x2003c0080
offcore_response.pf_llc_data_rd.llc_miss.dram_0, 0x1b7, 0x300400080
offcore_response.pf_llc_data_rd.llc_miss.dram_1, 0x1bb, 0x300400080
offcore_response.pf_llc_rfo.llc_hit.any_response_0, 0x1b7, 0x3f803c0100
offcore_response.pf_llc_rfo.llc_hit.any_response_1, 0x1bb, 0x3f803c0100
offcore_response.pf_llc_rfo.llc_hit.hit_other_core_no_fwd_0, 0x1b7, 0x4003c0100
offcore_response.pf_llc_rfo.llc_hit.hit_other_core_no_fwd_1, 0x1bb, 0x4003c0100
offcore_response.pf_llc_rfo.llc_hit.hitm_other_core_0, 0x1b7, 0x10003c0100
offcore_response.pf_llc_rfo.llc_hit.hitm_other_core_1, 0x1bb, 0x10003c0100
offcore_response.pf_llc_rfo.llc_hit.no_snoop_needed_0, 0x1b7, 0x1003c0100
offcore_response.pf_llc_rfo.llc_hit.no_snoop_needed_1, 0x1bb, 0x1003c0100
offcore_response.pf_llc_rfo.llc_hit.snoop_miss_0, 0x1b7, 0x2003c0100
offcore_response.pf_llc_rfo.llc_hit.snoop_miss_1, 0x1bb, 0x2003c0100
offcore_response.pf_llc_rfo.llc_miss.dram_0, 0x1b7, 0x300400100
offcore_response.pf_llc_rfo.llc_miss.dram_1, 0x1bb, 0x300400100
offcore_response.split_lock_uc_lock.any_response_0, 0x1b7, 0x10400
offcore_response.split_lock_uc_lock.any_response_1, 0x1bb, 0x10400
offcore_response.streaming_stores.any_response_0, 0x1b7, 0x10800
offcore_response.streaming_stores.any_response_1, 0x1bb, 0x10800
other_assists.avx_store, 0x8c1
other_assists.avx_to_sse, 0x10c1
other_assists.itlb_miss_retired, 0x2c1
other_assists.sse_to_avx, 0x20c1
page_walks.llc_miss, 0x1be
partial_rat_stalls.flags_merge_uop, 0x2059
partial_rat_stalls.flags_merge_uop_cycles, 0x2059
partial_rat_stalls.mul_single_uop, 0x8059
partial_rat_stalls.slow_lea_window, 0x4059
resource_stalls.any, 0x1a2
resource_stalls.lb, 0x2a2
resource_stalls.lb_sb, 0xaa2
resource_stalls.mem_rs, 0xea2
resource_stalls.ooo_rsrc, 0xf0a2
resource_stalls.rob, 0x10a2
resource_stalls.rs, 0x4a2
resource_stalls.sb, 0x8a2
resource_stalls2.all_fl_empty, 0xc5b
resource_stalls2.all_prf_control, 0xf5b
resource_stalls2.bob_full, 0x405b
resource_stalls2.ooo_rsrc, 0x4f5b
rob_misc_events.lbr_inserts, 0x20cc
rs_events.empty_cycles, 0x15e
rs_events.empty_end, 0x15e
simd_fp_256.packed_double, 0x211
simd_fp_256.packed_single, 0x111
sq_misc.split_lock, 0x10f4
tlb_flush.dtlb_thread, 0x1bd
tlb_flush.stlb_any, 0x20bd
unc_arb_coh_trk_occupancy.all, 0x183
unc_arb_coh_trk_requests.all, 0x184
unc_arb_trk_occupancy.all, 0x180
unc_arb_trk_occupancy.cycles_over_half_full, 0x180
unc_arb_trk_occupancy.cycles_with_any_request, 0x180
unc_arb_trk_requests.all, 0x181
unc_arb_trk_requests.evictions, 0x8081
unc_arb_trk_requests.writes, 0x2081
unc_cbo_cache_lookup.any_es, 0x8634
unc_cbo_cache_lookup.any_i, 0x8834
unc_cbo_cache_lookup.any_m, 0x8134
unc_cbo_cache_lookup.any_mesi, 0x8f34
unc_cbo_cache_lookup.extsnp_es, 0x4634
unc_cbo_cache_lookup.extsnp_i, 0x4834
unc_cbo_cache_lookup.extsnp_m, 0x4134
unc_cbo_cache_lookup.extsnp_mesi, 0x4f34
unc_cbo_cache_lookup.read_es, 0x1634
unc_cbo_cache_lookup.read_i, 0x1834
unc_cbo_cache_lookup.read_m, 0x1134
unc_cbo_cache_lookup.read_mesi, 0x1f34
unc_cbo_cache_lookup.write_es, 0x2634
unc_cbo_cache_lookup.write_i, 0x2834
unc_cbo_cache_lookup.write_m, 0x2134
unc_cbo_cache_lookup.write_mesi, 0x2f34
unc_cbo_xsnp_response.hit_eviction, 0x8422
unc_cbo_xsnp_response.hit_external, 0x2422
unc_cbo_xsnp_response.hit_xcore, 0x4422
unc_cbo_xsnp_response.hitm_eviction, 0x8822
unc_cbo_xsnp_response.hitm_external, 0x2822
unc_cbo_xsnp_response.hitm_xcore, 0x4822
unc_cbo_xsnp_response.miss_eviction, 0x8122
unc_cbo_xsnp_response.miss_external, 0x2122
unc_cbo_xsnp_response.miss_xcore, 0x4122
unc_clock.socket, 0xff
uops_dispatched.core, 0x2b1
uops_dispatched.thread, 0x1b1
uops_dispatched_port.port_0, 0x1a1
uops_dispatched_port.port_0_core, 0x1a1
uops_dispatched_port.port_1, 0x2a1
uops_dispatched_port.port_1_core, 0x2a1
uops_dispatched_port.port_2, 0xca1
uops_dispatched_port.port_2_core, 0xca1
uops_dispatched_port.port_3, 0x30a1
uops_dispatched_port.port_3_core, 0x30a1
uops_dispatched_port.port_4, 0x40a1
uops_dispatched_port.port_4_core, 0x40a1
uops_dispatched_port.port_5, 0x80a1
uops_dispatched_port.port_5_core, 0x80a1
uops_executed.core_cycles_ge_1, 0x2b1
uops_executed.core_cycles_ge_2, 0x2b1
uops_executed.core_cycles_ge_3, 0x2b1
uops_executed.core_cycles_ge_4, 0x2b1
uops_executed.core_cycles_none, 0x2b1
uops_issued.any, 0x10e
uops_issued.core_stall_cycles, 0x10e
uops_issued.stall_cycles, 0x10e
uops_retired.all, 0x1c2
uops_retired.core_stall_cycles, 0x1c2
uops_retired.retire_slots, 0x2c2
uops_retired.stall_cycles, 0x1c2
uops_retired.total_cycles, 0x1c2
